Date,Open,High,Low,Close
"Jan 27, 2016",1710.66,1728.84,1710.66,1728.84
"Jan 28, 2016",1726.30,1764.45,1726.30,1755.39
"Jan 29, 2016",1763.09,1780.25,1756.04,1780.25
"Feb 01, 2016",1781.67,1781.67,1760.71,1777.54
"Feb 02, 2016",1776.26,1779.17,1730.19,1731.64
"Feb 03, 2016",1734.44,1750.02,1726.09,1739.08
"Feb 04, 2016",1748.87,1788.65,1748.87,1788.65
"Feb 05, 2016",1789.26,1805.25,1782.58,1790.87
"Feb 08, 2016",1790.32,1792.73,1759.20,1769.71
"Feb 09, 2016",1766.02,1774.76,1746.44,1767.45
"Feb 10, 2016",1772.40,1792.10,1760.99,1760.99
"Feb 11, 2016",1759.51,1766.82,1730.66,1758.93
"Feb 12, 2016",1758.10,1782.03,1757.28,1765.53
"Feb 15, 2016",1780.23,1798.25,1779.97,1787.98
"Feb 16, 2016",1788.14,1791.30,1765.47,1783.93
"Feb 17, 2016",1786.14,1847.95,1786.14,1847.95
"Feb 18, 2016",1847.00,1878.14,1841.81,1853.76
"Feb 19, 2016",1848.09,1852.98,1835.19,1841.06
"Feb 22, 2016",1849.60,1881.08,1849.60,1859.73
"Feb 23, 2016",1847.90,1862.13,1838.35,1844.96
"Feb 24, 2016",1844.44,1849.03,1814.33,1818.37
"Feb 25, 2016",1826.34,1844.88,1822.54,1838.17
"Feb 26, 2016",1845.08,1863.49,1841.55,1844.57
"Feb 29, 2016",1836.93,1837.34,1811.86,1824.08
"Mar 01, 2016",1826.93,1830.34,1796.24,1825.07
"Mar 02, 2016",1830.28,1841.90,1807.12,1825.15
"Mar 03, 2016",1828.14,1877.15,1823.13,1877.15
"Mar 04, 2016",1877.60,1882.83,1859.50,1873.51
"Mar 07, 2016",1874.03,1895.41,1868.64,1895.41
"Mar 08, 2016",1887.19,1895.33,1868.78,1876.49
"Mar 09, 2016",1875.09,1879.48,1864.88,1878.59
"Mar 10, 2016",1876.34,1907.36,1873.47,1887.31
"Mar 11, 2016",1892.86,1917.70,1892.86,1910.87
"Mar 14, 2016",1917.09,1928.37,1902.88,1913.83
"Mar 15, 2016",1909.88,1915.57,1899.85,1906.08
"Mar 16, 2016",1909.60,1916.39,1891.13,1905.69
"Mar 17, 2016",1907.65,1951.48,1907.65,1944.21
"Mar 18, 2016",1944.75,1962.89,1939.05,1961.97
"Mar 21, 2016",1951.90,1957.67,1939.50,1952.63
"Mar 22, 2016",1948.94,1962.98,1932.53,1962.98
"Mar 23, 2016",1959.07,1969.36,1926.23,1935.61
"Mar 24, 2016",1933.12,1936.19,1912.07,1936.19
"Mar 29, 2016",1939.41,1959.90,1939.41,1953.84
"Mar 30, 2016",1962.38,1999.93,1962.28,1999.93
"Mar 31, 2016",1982.94,1997.69,1976.64,1997.69
"Apr 01, 2016",1985.37,1986.04,1959.62,1973.24
"Apr 04, 2016",1970.39,1988.78,1962.47,1986.14
"Apr 05, 2016",1976.23,1976.23,1933.84,1933.84
"Apr 06, 2016",1939.74,1943.44,1911.10,1919.59
"Apr 07, 2016",1928.52,1936.31,1892.25,1905.10
"Apr 08, 2016",1911.93,1920.37,1901.55,1919.42
"Apr 11, 2016",1919.03,1932.79,1907.85,1914.22
"Apr 12, 2016",1915.38,1917.61,1891.76,1907.72
"Apr 13, 2016",1918.51,1947.49,1918.51,1944.36
"Apr 14, 2016",1941.15,1954.76,1935.69,1951.75
"Apr 15, 2016",1952.47,1952.80,1928.14,1939.95
"Apr 18, 2016",1932.52,1946.34,1919.54,1946.34
"Apr 19, 2016",1946.09,1969.91,1946.09,1964.84
"Apr 20, 2016",1963.66,1965.73,1949.13,1962.88
"Apr 21, 2016",1966.84,1973.01,1938.82,1950.38
"Apr 22, 2016",1949.60,1951.47,1928.02,1943.03
"Apr 25, 2016",1940.55,1940.55,1917.29,1925.34
"Apr 26, 2016",1925.44,1931.05,1911.12,1916.35
"Apr 27, 2016",1913.09,1921.03,1887.83,1892.48
"Apr 28, 2016",1885.19,1900.33,1875.46,1897.98
"Apr 29, 2016",1899.32,1899.32,1878.90,1896.64
"May 02, 2016",1898.93,1914.12,1890.59,1899.72
"May 04, 2016",1890.87,1893.40,1859.68,1865.25
"May 05, 2016",1865.17,1865.17,1836.01,1837.71
"May 06, 2016",1838.83,1860.42,1827.42,1852.71
"May 09, 2016",1859.84,1861.17,1845.74,1848.45
"May 10, 2016",1845.54,1854.26,1818.34,1825.17
"May 11, 2016",1823.50,1830.58,1814.43,1818.02
"May 12, 2016",1817.25,1837.10,1812.61,1816.09
"May 13, 2016",1812.82,1829.07,1807.73,1815.38
"May 16, 2016",1829.37,1861.37,1829.37,1853.78
"May 17, 2016",1859.85,1872.99,1845.88,1846.50
"May 18, 2016",1845.98,1853.37,1832.42,1841.84
"May 19, 2016",1844.07,1844.07,1796.24,1799.90
"May 20, 2016",1800.76,1815.41,1789.92,1806.38
"May 23, 2016",1805.88,1824.78,1796.31,1818.97
"May 24, 2016",1817.47,1836.71,1811.70,1831.15
"May 25, 2016",1837.25,1860.40,1837.25,1849.27
"May 27, 2016",1849.78,1856.87,1839.22,1839.22
"May 30, 2016",1840.91,1848.66,1830.39,1841.79
"May 31, 2016",1844.22,1853.41,1808.24,1808.24
"Jun 01, 2016",1809.97,1809.97,1753.86,1759.49
"Jun 02, 2016",1759.87,1773.76,1748.22,1762.28
"Jun 03, 2016",1760.19,1797.04,1759.44,1793.43
"Jun 06, 2016",1797.23,1806.95,1780.55,1797.27
"Jun 07, 2016",1799.46,1834.41,1799.46,1832.79
"Jun 08, 2016",1833.06,1852.85,1811.33,1843.85
"Jun 09, 2016",1842.55,1844.58,1811.80,1814.14
"Jun 10, 2016",1815.50,1816.92,1777.73,1782.02
"Jun 13, 2016",1770.85,1783.55,1756.42,1780.01
"Jun 14, 2016",1777.15,1777.15,1749.29,1762.61
"Jun 15, 2016",1766.96,1779.14,1762.91,1772.91
"Jun 16, 2016",1758.15,1758.15,1723.35,1733.48
"Jun 17, 2016",1739.54,1755.92,1739.54,1754.45
"Jun 20, 2016",1764.76,1798.82,1764.76,1793.83
"Jun 21, 2016",1775.08,1802.61,1767.87,1802.61
"Jun 22, 2016",1801.47,1824.42,1791.52,1823.03
"Jun 23, 2016",1820.28,1853.71,1814.28,1853.71
"Jun 24, 2016",1676.13,1770.02,1641.85,1769.67
"Jun 27, 2016",1759.88,1761.63,1732.19,1732.19
"Jun 28, 2016",1753.04,1762.69,1739.30,1751.81
"Jun 29, 2016",1756.86,1762.05,1743.01,1756.20
"Jun 30, 2016",1751.77,1755.82,1735.15,1750.69
"Jul 01, 2016",1756.47,1762.69,1730.44,1744.56
"Jul 04, 2016",1728.89,1735.41,1697.33,1724.50
"Jul 05, 2016",1722.62,1731.95,1715.95,1715.95
"Jul 06, 2016",1716.30,1717.40,1686.81,1689.92
"Jul 07, 2016",1697.51,1726.74,1697.51,1713.51
"Jul 08, 2016",1714.84,1723.86,1705.43,1705.43
"Jul 11, 2016",1719.81,1745.43,1719.81,1745.43
"Jul 12, 2016",1747.85,1763.54,1744.51,1754.38
"Jul 13, 2016",1747.31,1761.65,1736.20,1744.15
"Jul 14, 2016",1740.03,1746.53,1729.82,1745.34
"Jul 15, 2016",1746.76,1768.15,1743.03,1759.41
